month;cpv_division;division_name;tender_count
2021-01;45;Roboty budowlane;145
2021-01;33;Sprzęt medyczny i farmaceutyczny;59
2021-01;90;Usługi środowiskowe i sanitarne;34
2021-01;9;Produkty naftowe, paliwa i energia;28
2021-01;15;Artykuły spożywcze i napoje;20
2021-01;66;Usługi finansowe i ubezpieczeniowe;20
2021-01;79;Usługi biznesowe i doradcze;19
2021-01;71;Usługi architektoniczne i inżynieryjne;18
2021-01;34;Sprzęt transportowy i pojazdy;13
2021-01;24;Produkty chemiczne;7
2021-01;30;Sprzęt komputerowy i biurowy;7
2021-01;44;Materiały budowlane;7
2021-01;80;Usługi edukacyjne;7
2021-01;85;Usługi zdrowotne i społeczne;7
2021-01;14;Górnictwo i minerały;6
2021-01;55;Usługi hotelarskie i restauracyjne;6
2021-01;60;Usługi transportu drogowego;6
2021-01;38;Sprzęt laboratoryjny i naukowy;5
2021-01;72;Usługi informatyczne;5
2021-01;42;Maszyny przemysłowe;4
2021-01;50;Usługi napraw i konserwacji;4
2021-01;98;Pozostałe usługi komunalne i osobiste;4
2021-01;35;Sprzęt bezpieczeństwa i ochrony;3
2021-01;64;Usługi pocztowe i telekomunikacyjne;3
2021-01;77;Usługi rolnicze i leśne;3
2021-01;3;Produkty rolne, łowieckie i rybne;2
2021-01;31;Sprzęt elektryczny;2
2021-01;39;Meble i wyposażenie wnętrz;2
2021-01;16;Maszyny rolnicze;1
2021-01;22;Drukowane materiały i produkty poligraficzne;1
2021-01;32;Sprzęt elektroniczny i telekomunikacyjny;1
2021-01;70;Usługi w zakresie nieruchomości;1
2021-02;45;Roboty budowlane;781
2021-02;33;Sprzęt medyczny i farmaceutyczny;306
2021-02;71;Usługi architektoniczne i inżynieryjne;166
2021-02;90;Usługi środowiskowe i sanitarne;120
2021-02;34;Sprzęt transportowy i pojazdy;98
2021-02;9;Produkty naftowe, paliwa i energia;94
2021-02;79;Usługi biznesowe i doradcze;93
2021-02;30;Sprzęt komputerowy i biurowy;80
2021-02;80;Usługi edukacyjne;66
2021-02;15;Artykuły spożywcze i napoje;62
2021-02;39;Meble i wyposażenie wnętrz;62
2021-02;66;Usługi finansowe i ubezpieczeniowe;59
2021-02;50;Usługi napraw i konserwacji;45
2021-02;24;Produkty chemiczne;44
2021-02;38;Sprzęt laboratoryjny i naukowy;40
2021-02;77;Usługi rolnicze i leśne;37
2021-02;55;Usługi hotelarskie i restauracyjne;35
2021-02;44;Materiały budowlane;34
2021-02;14;Górnictwo i minerały;33
2021-02;60;Usługi transportu drogowego;33
2021-02;85;Usługi zdrowotne i społeczne;29
2021-02;48;Pakiety oprogramowania;27
2021-02;32;Sprzęt elektroniczny i telekomunikacyjny;21
2021-02;72;Usługi informatyczne;21
2021-02;3;Produkty rolne, łowieckie i rybne;20
2021-02;16;Maszyny rolnicze;18
2021-02;31;Sprzęt elektryczny;12
2021-02;42;Maszyny przemysłowe;12
2021-02;18;Odzież i obuwie;11
2021-02;22;Drukowane materiały i produkty poligraficzne;11
2021-02;98;Pozostałe usługi komunalne i osobiste;11
2021-02;64;Usługi pocztowe i telekomunikacyjne;10
2021-02;70;Usługi w zakresie nieruchomości;10
2021-02;92;Usługi rekreacyjne i kulturalne;8
2021-02;35;Sprzęt bezpieczeństwa i ochrony;7
2021-02;37;Sprzęt sportowy i rekreacyjny;7
2021-02;43;Maszyny górnicze;6
2021-02;19;Wyroby skórzane i tekstylne;5
2021-02;75;Usługi administracji publicznej;4
2021-02;63;Usługi spedycji i logistyki;3
2021-02;51;Usługi instalacyjne;2
2021-02;73;Usługi badawczo-rozwojowe;1
2021-03;45;Roboty budowlane;1878
2021-03;33;Sprzęt medyczny i farmaceutyczny;495
2021-03;71;Usługi architektoniczne i inżynieryjne;399
2021-03;90;Usługi środowiskowe i sanitarne;184
2021-03;30;Sprzęt komputerowy i biurowy;160
2021-03;80;Usługi edukacyjne;160
2021-03;34;Sprzęt transportowy i pojazdy;145
2021-03;79;Usługi biznesowe i doradcze;142
2021-03;50;Usługi napraw i konserwacji;130
2021-03;39;Meble i wyposażenie wnętrz;114
2021-03;15;Artykuły spożywcze i napoje;102
2021-03;9;Produkty naftowe, paliwa i energia;90
2021-03;66;Usługi finansowe i ubezpieczeniowe;85
2021-03;77;Usługi rolnicze i leśne;81
2021-03;38;Sprzęt laboratoryjny i naukowy;73
2021-03;44;Materiały budowlane;69
2021-03;24;Produkty chemiczne;68
2021-03;85;Usługi zdrowotne i społeczne;66
2021-03;60;Usługi transportu drogowego;55
2021-03;14;Górnictwo i minerały;53
2021-03;72;Usługi informatyczne;51
2021-03;48;Pakiety oprogramowania;47
2021-03;55;Usługi hotelarskie i restauracyjne;42
2021-03;42;Maszyny przemysłowe;32
2021-03;64;Usługi pocztowe i telekomunikacyjne;30
2021-03;3;Produkty rolne, łowieckie i rybne;29
2021-03;18;Odzież i obuwie;26
2021-03;31;Sprzęt elektryczny;26
2021-03;32;Sprzęt elektroniczny i telekomunikacyjny;26
2021-03;98;Pozostałe usługi komunalne i osobiste;24
2021-03;92;Usługi rekreacyjne i kulturalne;22
2021-03;73;Usługi badawczo-rozwojowe;20
2021-03;43;Maszyny górnicze;19
2021-03;16;Maszyny rolnicze;17
2021-03;22;Drukowane materiały i produkty poligraficzne;15
2021-03;70;Usługi w zakresie nieruchomości;15
2021-03;35;Sprzęt bezpieczeństwa i ochrony;12
2021-03;63;Usługi spedycji i logistyki;11
2021-03;37;Sprzęt sportowy i rekreacyjny;9
2021-03;75;Usługi administracji publicznej;9
2021-03;19;Wyroby skórzane i tekstylne;4
2021-03;51;Usługi instalacyjne;4
2021-04;45;Roboty budowlane;2089
2021-04;33;Sprzęt medyczny i farmaceutyczny;482
2021-04;71;Usługi architektoniczne i inżynieryjne;403
2021-04;90;Usługi środowiskowe i sanitarne;191
2021-04;30;Sprzęt komputerowy i biurowy;165
2021-04;79;Usługi biznesowe i doradcze;159
2021-04;34;Sprzęt transportowy i pojazdy;141
2021-04;80;Usługi edukacyjne;141
2021-04;50;Usługi napraw i konserwacji;122
2021-04;39;Meble i wyposażenie wnętrz;104
2021-04;15;Artykuły spożywcze i napoje;83
2021-04;77;Usługi rolnicze i leśne;83
2021-04;9;Produkty naftowe, paliwa i energia;78
2021-04;38;Sprzęt laboratoryjny i naukowy;77
2021-04;72;Usługi informatyczne;65
2021-04;66;Usługi finansowe i ubezpieczeniowe;53
2021-04;60;Usługi transportu drogowego;50
2021-04;48;Pakiety oprogramowania;47
2021-04;44;Materiały budowlane;46
2021-04;55;Usługi hotelarskie i restauracyjne;46
2021-04;42;Maszyny przemysłowe;45
2021-04;24;Produkty chemiczne;44
2021-04;85;Usługi zdrowotne i społeczne;42
2021-04;18;Odzież i obuwie;35
2021-04;32;Sprzęt elektroniczny i telekomunikacyjny;35
2021-04;31;Sprzęt elektryczny;27
2021-04;14;Górnictwo i minerały;26
2021-04;16;Maszyny rolnicze;26
2021-04;3;Produkty rolne, łowieckie i rybne;23
2021-04;22;Drukowane materiały i produkty poligraficzne;20
2021-04;64;Usługi pocztowe i telekomunikacyjne;20
2021-04;98;Pozostałe usługi komunalne i osobiste;18
2021-04;35;Sprzęt bezpieczeństwa i ochrony;16
2021-04;37;Sprzęt sportowy i rekreacyjny;16
2021-04;73;Usługi badawczo-rozwojowe;16
2021-04;92;Usługi rekreacyjne i kulturalne;14
2021-04;43;Maszyny górnicze;13
