division;name;total;Fs;amplitude;cv_pct;peak;trough
60;Usługi transportu drogowego;10630;0.98;7.77;74.7;Lip;Kwi
85;Usługi zdrowotne i społeczne;8504;0.964;4.67;58.2;Gru;Sie
90;Usługi środowiskowe i sanitarne;23543;0.961;4.77;62.1;Lis;Sie
64;Usługi pocztowe i telekomunikacyjne;4676;0.951;11.6;96.9;Lis;Sie
15;Artykuły spożywcze i napoje;22319;0.942;5.26;66.1;Lis;Kwi
66;Usługi finansowe i ubezpieczeniowe;7291;0.936;3.63;45.5;Lis;Sty
55;Usługi hotelarskie i restauracyjne;12376;0.906;2.86;34.5;Lis;Sty
9;Produkty naftowe, paliwa i energia;20268;0.906;4.67;61.0;Lis;Kwi
98;Pozostałe usługi komunalne i osobiste;3081;0.886;3.94;50.2;Gru;Sie
34;Sprzęt transportowy i pojazdy;19757;0.87;3.19;29.6;Paź;Sty
77;Usługi rolnicze i leśne;5115;0.868;2.42;29.8;Mar;Lis
38;Sprzęt laboratoryjny i naukowy;7892;0.86;2.95;25.3;Paź;Sty
79;Usługi biznesowe i doradcze;15855;0.846;2.31;29.0;Lis;Sie
32;Sprzęt elektroniczny i telekomunikacyjny;4742;0.846;5.71;40.2;Paź;Sty
39;Meble i wyposażenie wnętrz;14948;0.844;2.62;23.6;Paź;Sty
14;Górnictwo i minerały;2724;0.835;3.77;43.2;Lut;Gru
22;Drukowane materiały i produkty poligraficzne;2034;0.823;3.51;29.1;Lis;Sty
3;Produkty rolne, łowieckie i rybne;3914;0.804;2.57;29.8;Lis;Lip
24;Produkty chemiczne;3475;0.782;1.95;22.6;Mar;Wrz
45;Roboty budowlane;167010;0.771;3.38;30.3;Lip;Gru
33;Sprzęt medyczny i farmaceutyczny;39843;0.762;1.67;12.4;Paź;Sty
48;Pakiety oprogramowania;8130;0.748;4.56;39.2;Lis;Sty
72;Usługi informatyczne;5213;0.738;1.91;18.2;Lis;Sty
50;Usługi napraw i konserwacji;9661;0.721;1.86;18.6;Lis;Sie
71;Usługi architektoniczne i inżynieryjne;31379;0.687;2.07;19.9;Mar;Sty
30;Sprzęt komputerowy i biurowy;19462;0.603;3.31;28.9;Lis;Sty
16;Maszyny rolnicze;2316;0.596;4.08;44.0;Lis;Sty
44;Materiały budowlane;5395;0.592;2.37;22.7;Mar;Gru
18;Odzież i obuwie;2627;0.548;1.9;20.8;Paź;Sty
80;Usługi edukacyjne;10368;0.46;2.07;20.7;Mar;Gru
42;Maszyny przemysłowe;4247;0.388;4.09;32.6;Paź;Sty
35;Sprzęt bezpieczeństwa i ochrony;2091;0.349;6.4;59.3;Paź;Sty
31;Sprzęt elektryczny;5585;0.07;8.4;65.7;Paź;Sty
43;Maszyny górnicze;2045;0.043;6.8;57.0;Paź;Sty
